WKT,Назва,опис,тип вулиці,назва вулиці,як пошкоджено,номер будинку
"POINT (36.3496917 50.0365726)",Точка 2,,,,,
"POINT (36.3642831 50.0330585)",будинок ххх,артобстріл 24 березня, порушена стіна,вулиця,Дружби Народів,,
"POINT (36.3493913 50.0312239)",Джерельна вулиця, 7,Пошкодження будинку,вулиця,Джерельна вулиця,Внаслидок ракетного удару або удару системи залпового вогню, повністю знищено житлову квартиру з меблями та технікою та іншим майном.,7
"POINT (36.3560736 50.0314113)",Гвардійців-Широнінців, 101,Серйозне пошкодження будинку,вулиця ,вулиця Гвардійців-Широнінців,1.04.2022 В будівлю влучило два артилерійських снаряди. Один потрапив у дім через вікно, вибухнув усередині будівлі. Другий знаряд потрапив у подвір'я,101
"POINT (36.3629722 50.0348254)",Гвардійців-Широкінців, 92,Серйозне пошкодження внутрішньої частини будинку та газової магістралі,вулиця,Гвардійців-Широкінців,4.03.22 У другому під'їзді зруйнована холодна частина балкону між четвертим та п'ятим поверхами в наслідок чого був зсув плит та суттєве пошкодження внутрішньої частини під'їзду. Попадання снаряду у козирок вхідної частини під'їзду з пошкодженням газової труби.,92
"POINT (36.3686315 50.0353735)",Метробудівників 40,Серйозне пошкодження будинку та тримальних плит,вулиця ,Метробудівників ,5.03.22 Серйозне пошкодження будинку та тримальних плит у кількох квартирах, пожежа внаслідок артобстрілу,40
"POINT (36.3658569 50.0374312)",Метробудівників, 25,Серйозне пошкодження будинку,вулиця ,Метробудівників,29.03.22 В будинку зруйновані квартири на 9 та 4 поверсі прямим потраплянням снаряду. Пошкодженні технічні поверхи та комунікації у 1 та 3 під'їзді.,25
"POINT (36.366528 50.0378883)",Метробудівників, 27,Серйозне пошкодження будинку,вулиця ,Метробудівників,1.05.22 Снаряд пролетів через дах, пробивши квартиру на 9 поверсі, квартиру на 8 поверсі та стіну у тамбур на 8 поверсі. Квартири згоріли, комунікації та електрика також згоріли. Стіна відійшла і покосилась,27
"POINT (36.3696164 50.0382171)",Наталії Ужвій, 108,Серйозне пошкодження будівлі,вулиця ,Наталії Ужвій,3.03.22 Зруйнована будівля магазину,108
"POINT (36.3629083 50.0393363)",Гвардійців-Широнінців, 121,Серйозне пошкодження будинку,вулиця,Гвардійців-Широнінців,Перший раз (06.03.2022) влучив снаряд на 5-му - 6-му поверсі 7-го входу (лівий бік входу), після чого сталася пожежа на 5-му, 6-му і 7-му поверхах. Другий раз (01-02.05.2022) влучив майже так само з подальшою пожежею на 6-му, 7-му і 8-му поверхах.,121
"POINT (36.3632293 50.0408432)",Наталії Ужвій, 92,Серйозне пошкодження будинку,вулиця ,Наталії Ужвій,5.03.22 Внаслідок обстрілу сталося обвалення тримальних конструкцій та фасаду житлового будинку,92
"POINT (36.3610092 50.0417649)",Наталії Ужвій, 86,Серйозне пошкодження будинку,вулиця ,Наталії Ужвій,В будинок з 2 березня впродовж кількох місяців багато разів потрапляли російські снаряди та ракети, які зруйнували будинок майже повністю,86
"POINT (36.3577826 50.0420994)",Наталії Ужвій, 74,пошкодження будинку,вулиця ,Наталії Ужвій,Влучання та пожежа на 8-9 поверхах 2 під'їзду, ударною хвилею вибиті вікна,74
"POINT (36.3577204 50.041374)",Наталії Ужвій, 76,Серйозне пошкодження будівлі дитсадка,вулиця ,Наталії Ужвій,7.03.22 знищений окупантами «стратегічний» дитячий садок №464 у Харкові на Салтівці,76
"POINT (36.3561558 50.0406544)",Метробудівників, 9,Серйозне пошкодження будинку,вулиця ,Метробудівників,1.04.22 1 квітня після влучання ворожої ракети, зайнялася пожежа, із подальшим руйнуванням споруди.,9
"POINT (36.3565343 50.0420177)",Наталії Ужвій, 72,Серйозне пошкодження будинку,вулиця ,Наталії Ужвій,5.03.22 Руйнування фасаду внаслідок обстрілу, пожежа,72
